Serial,date,time of year,Year,Hour,Day off,Weekday,Workingday,Weather,Temp,Feel_Temp, Humidity,Fog Density,Foreigners,Local,Total Visitors
1,01-01-2011,1,0,0,0,6,0,1,0.24,0.2879,0.757753825,0.81,3,13,16
2,01-01-2011,1,0,1,0,6,0,1,0.22,0.2727,0.725487449,0.8,8,32,40
3,01-01-2011,1,0,3,0,6,0,1,0.24,0.2879,0.750239067,0.75,3,10,13
4,01-01-2011,1,0,4,0,6,0,1,0.24,0.2879,0.786712533,0.75,0,1,1
5,01-01-2011,1,0,6,0,6,0,1,0.22,0.2727,0.788794232,0.8,2,0,2
6,01-01-2011,1,0,7,0,6,0,1,0.2,0.2576,0.784771664,0.86,1,2,3
7,01-01-2011,1,0,11,0,6,0,1,0.36,0.3333,0.760311939,0.81,26,30,56
8,01-01-2011,1,0,15,0,6,0,2,0.44,0.4394,0.770238458,0.77,40,70,110
9,01-01-2011,1,0,17,0,6,0,2,0.44,0.4394,0.764818726,0.82,15,52,67
10,01-01-2011,1,0,21,0,6,0,2,0.4,0.4091,0.751657165,0.87,3,31,34
11,01-01-2011,1,0,23,0,6,0,2,0.46,0.4545,0.746494516,0.88,15,24,39
12,02-01-2011,1,0,0,0,0,0,2,0.46,0.4545,0.7365596,0.88,4,13,17
13,02-01-2011,1,0,3,0,0,0,2,0.46,0.4545,0.735295083,0.94,2,4,6
14,02-01-2011,1,0,4,0,0,0,2,0.46,0.4545,0.741736163,0.94,2,1,3
15,02-01-2011,1,0,8,0,0,0,3,0.4,0.4091,0.740794576,0.71,0,8,8
16,02-01-2011,1,0,13,0,0,0,2,0.36,0.3485,0.769110793,0.66,11,64,75
17,02-01-2011,1,0,19,0,0,0,1,0.32,0.2879,0.755183083,0.42,1,29,30
18,02-01-2011,1,0,21,0,0,0,1,0.26,0.2273,0.73516078,0.44,11,20,31
19,03-01-2011,1,0,0,0,1,1,1,0.22,0.197,0.795053789,0.44,0,5,5
20,03-01-2011,1,0,1,0,1,1,1,0.2,0.1667,0.839268068,0.44,0,2,2
21,03-01-2011,1,0,4,0,1,1,1,0.16,0.1364,0.873588534,0.47,0,1,1
22,03-01-2011,1,0,6,0,1,1,1,0.14,0.1061,0.877784445,0.5,0,30,30
23,03-01-2011,1,0,7,0,1,1,1,0.14,0.1364,0.856938128,0.5,1,63,64
24,03-01-2011,1,0,8,0,1,1,1,0.14,0.1212,0.818501207,0.5,1,153,154
